case_id,prediction_date,project_type,project_category,project_value_crore,project_length_km,project_priority,executing_agency,state,district,urban_rural,land_area_acres,required_area_acres,land_type,land_use,land_value_lakh,circle_rate_lakh,parcel_accessibility,distance_to_project_km,number_of_owners,number_of_coowners,number_of_legal_heirs,joint_ownership,ownership_conflict,mutation_pending,title_clarity,encumbrance_flag,existing_legal_case,number_of_legal_cases,case_age_days,court_level,stay_order,injunction_status,objection_filed,compensation_dispute,land_record_available,title_document_available,mutation_status,survey_completed,ownership_verified,missing_document_count,document_conflict,estimated_compensation_lakh,approved_compensation_lakh,compensation_paid_lakh,compensation_pending,number_of_beneficiaries,bank_account_verified,notification_issued,pending_approval_count,department_count,interdepartmental_dependencies,file_movement_count,days_at_current_stage,total_file_age_days,families_affected,rr_applicable,rr_package_approved,rr_payment_status,number_of_objections,public_hearing_status,community_resistance,delayed,delay_days,delay_reason
LA000001,2023-03-20,Railway,Regional Infrastructure,74.86,17.38,Medium,NHAI,Maharashtra,Nagpur,Rural,8.7,7.58,Industrial,Residential,470.66,488.42,Moderate,0.43,4,3,1,1,0,0,High,1,0,0,0,None,0,0,0,0,1,1,Under Verification,1,0,1,0,544.92,484.13,349.43,1,5,0,1,2,5,3,7,72,162,4,0,0,Not Applicable,1,Re-hearing Required,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000002,2024-09-11,Railway,State Infrastructure,134.73,19.02,Medium,State Irrigation Dept,Odisha,Cuttack,Semi-Urban,17.7,14.31,Residential,Residential,561.2,469.15,Moderate,0.06,5,4,3,1,0,0,High,0,0,0,0,None,0,0,1,0,1,1,Completed,1,1,1,0,1057.77,868.7,537.54,1,7,1,1,1,5,1,3,19,282,3,0,0,Not Applicable,4,Re-hearing Required,Low,1,88,INTER_DEPARTMENT
LA000003,2022-09-30,Urban Infrastructure,Regional Infrastructure,104.93,5.3,Medium,NHAI,Andhra Pradesh,Nellore,Semi-Urban,4.94,2.33,Mixed,Institutional,354.43,287.34,Moderate,0.14,4,3,3,1,0,0,High,0,0,0,0,None,0,0,0,0,0,1,Completed,1,0,0,0,223.84,207.42,156.74,1,6,1,1,1,1,0,5,37,174,1,0,0,Not Applicable,5,Scheduled,Low,0,0,COMPENSATION
LA000004,2022-07-08,Highway,Regional Infrastructure,193.46,23.59,Medium,NHAI,Karnataka,Bengaluru Rural,Semi-Urban,8.58,3.43,Government,Commercial,622.67,493.9,High,0.01,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Completed,1,1,0,0,555.2,,304.71,1,2,1,1,1,2,2,7,68,196,2,0,0,Not Applicable,3,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
LA000005,2024-06-21,Highway,State Infrastructure,355.21,18.55,Medium,Indian Railways,Karnataka,Bengaluru Rural,Rural,3.24,1.22,Mixed,Residential,184.74,139.32,Moderate,1.35,3,2,3,1,1,1,Low,0,1,2,382,High Court,1,0,0,0,1,1,Pending,1,0,1,0,142.78,127.46,1.38,1,3,1,1,1,3,2,5,43,261,5,0,0,Not Applicable,6,Re-hearing Required,Low,0,0,OWNERSHIP_CONFLICT
LA000006,2022-05-08,Railway,State Infrastructure,98.86,63.35,High,Power Utility,Jharkhand,Dhanbad,Rural,3.51,1.85,Commercial,Industrial,285.01,286.15,Moderate,2.52,1,0,2,0,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,0,0,231.79,211.85,114.59,1,1,1,1,0,4,0,5,57,203,5,0,0,Not Applicable,2,Completed,Low,0,0,COMPENSATION
LA000007,2023-10-27,Highway,State Infrastructure,121.35,3.71,High,State Irrigation Dept,Maharashtra,Aurangabad,Urban,1.4,1.01,Government,Agriculture,33.87,25.56,High,0.04,3,2,1,1,0,1,Moderate,0,0,0,0,None,0,0,0,0,1,0,Pending,1,0,1,1,60.73,60.6,,1,4,1,1,0,1,2,4,43,154,4,0,0,Not Applicable,2,Completed,Low,0,0,INTER_DEPARTMENT
LA000008,2024-01-12,Dam,State Infrastructure,222.69,40.66,High,State PWD,West Bengal,Bardhaman,Semi-Urban,2.78,2.59,Mixed,Institutional,139.63,119.2,Moderate,0.22,2,1,0,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,2,0,131.72,110.7,21.27,1,5,1,1,1,4,0,2,41,187,3,0,0,Not Applicable,2,Re-hearing Required,Low,1,274,DOCUMENTATION
LA000009,2022-09-02,Railway,State Infrastructure,259.14,35.02,High,Urban Development Authority,Madhya Pradesh,Gwalior,Urban,4.85,1.77,Commercial,Agriculture,289.98,300.39,Low,1.27,4,3,6,1,1,1,Low,0,0,0,0,None,0,0,0,0,1,0,Under Verification,1,0,0,0,108.12,102.78,91.94,1,5,0,1,1,2,2,4,39,179,2,0,0,Not Applicable,4,Completed,Low,1,149,OWNERSHIP_CONFLICT
LA000010,2023-07-22,Industrial Corridor,State Infrastructure,132.14,26.61,Critical,Urban Development Authority,Maharashtra,Nashik,Semi-Urban,2.99,1.56,Mixed,Industrial,206.17,198.63,Moderate,0.8,3,2,2,1,0,0,High,0,0,0,0,None,0,0,0,0,1,1,Pending,1,0,1,1,74.3,69.98,49.43,1,5,1,1,2,4,2,6,54,229,7,1,1,Approved,1,Completed,Low,0,0,ADMINISTRATIVE_APPROVAL
